id,customer_message,intent,expected_resolution,should_escalate,conversation_id,source
16,I need my suit delivered before 2 PM tomorrow for a wedding. Can you guarantee delivery?,delivery_delay_tracking,Time-sensitive guarantee request requiring specialist dispatch review.,ESCALATE,gold_amzn_0016,curated_evaluation_benchmark
17,Driver took a delivery photo showing a front door that is definitely not my house.,delivery_delay_tracking,Confirmed misdelivery to wrong address requiring driver dispatch check.,ESCALATE,gold_amzn_0017,curated_evaluation_benchmark
18,Why did my single order get split into four separate shipments with different delivery dates?,delivery_delay_tracking,Explain multi-warehouse fulfillment logistics and separate tracking.,AUTO_HANDLE,gold_amzn_0018,curated_evaluation_benchmark
19,How do I add a gate code so the driver can access my apartment building?,delivery_delay_tracking,Provide step-by-step instructions to edit Your Addresses > Delivery Instructions.,AUTO_HANDLE,gold_amzn_0019,curated_evaluation_benchmark
20,The USPS tracking number provided on Amazon does not exist on the USPS website.,delivery_delay_tracking,Advise that tracking numbers take up to 24-48 hours after label creation to register on carrier sites.,AUTO_HANDLE,gold_amzn_0020,curated_evaluation_benchmark
21,My package has been out for delivery for two consecutive days without arriving.,delivery_delay_tracking,Repeated missed delivery requiring depot escalation.,ESCALATE,gold_amzn_0021,curated_evaluation_benchmark
22,Can I request the driver not ring the doorbell because of sleeping baby?,delivery_delay_tracking,Guide user on configuring delivery preferences in their account.,AUTO_HANDLE,gold_amzn_0022,curated_evaluation_benchmark
23,"Order says delivered to Amazon Locker, how long do I have to pick it up?",delivery_delay_tracking,State standard 3-calendar-day locker pickup window before automatic return.,AUTO_HANDLE,gold_amzn_0023,curated_evaluation_benchmark
24,Where do I find the pickup code for my Amazon Hub Locker delivery?,delivery_delay_tracking,Explain that the 6-digit pickup code or barcode is sent via email and Amazon app.,AUTO_HANDLE,gold_amzn_0024,curated_evaluation_benchmark
25,"My delivery was marked handed to receptionist, but our office building has been closed for renovation.",delivery_delay_tracking,False delivery confirmation requiring carrier investigation.,ESCALATE,gold_amzn_0025,curated_evaluation_benchmark
26,How do I return a pair of shoes that don't fit? Where do I drop them off?,refund_return_request,Explain 30-day return policy and Kohl's/UPS QR code drop-off procedure.,AUTO_HANDLE,gold_amzn_0026,curated_evaluation_benchmark
27,I dropped off my return at Whole Foods 3 days ago. When will the refund hit my card?,refund_return_request,State standard 3-5 business day processing timeline after drop-off scan.,AUTO_HANDLE,gold_amzn_0027,curated_evaluation_benchmark
28,Can I return an opened electronic item if I threw away the original outer box?,refund_return_request,Clarify return policy guidelines regarding packaging and potential restocking terms.,AUTO_HANDLE,gold_amzn_0028,curated_evaluation_benchmark
29,I want a full refund for an order that was cancelled by the seller.,refund_return_request,Explain that authorization holds on cancelled orders drop within 3-5 business days.,AUTO_HANDLE,gold_amzn_0029,curated_evaluation_benchmark
30,"The return window for my textbook closed yesterday, can an exception be made?",refund_return_request,Policy exception request requiring human supervisor discretion.,ESCALATE,gold_amzn_0030,curated_evaluation_benchmark
31,I returned two different orders in the same box by accident. How do I get refunds for both?,refund_return_request,Warehouse return discrepancy requiring manual tracking reconciliation.,ESCALATE,gold_amzn_0031,curated_evaluation_benchmark
32,Can I return a mattress purchased on Amazon? How does return pickup work for heavy items?,refund_return_request,Explain scheduled carrier pickup process for oversized/heavy items.,AUTO_HANDLE,gold_amzn_0032,curated_evaluation_benchmark
33,I received a gift from someone and want to return it without notifying them for store credit.,refund_return_request,Guide user through the Gift Returns portal using the 17-digit order number.,AUTO_HANDLE,gold_amzn_0033,curated_evaluation_benchmark
34,Why was a $5.99 return shipping fee deducted from my refund?,refund_return_request,Explain return shipping deduction policy for discretionary customer returns.,AUTO_HANDLE,gold_amzn_0034,curated_evaluation_benchmark
35,The Amazon returns drop-off QR code won't scan on the kiosk at Kohl's.,refund_return_request,Instruct user to cancel and re-generate return label in Online Returns Center.,AUTO_HANDLE,gold_amzn_0035,curated_evaluation_benchmark
36,I was promised a refund of $150 by a phone agent last week but received nothing.,refund_return_request,Unfulfilled agent commitment requiring CRM interaction history audit.,ESCALATE,gold_amzn_0036,curated_evaluation_benchmark
37,Can I get a refund directly to my PayPal account instead of the original credit card?,refund_return_request,State standard policy that refunds must return to the original payment method or gift card balance.,AUTO_HANDLE,gold_amzn_0037,curated_evaluation_benchmark
38,How long do I have to return an item bought during the holiday shopping season?,refund_return_request,Detail the extended holiday return policy window.,AUTO_HANDLE,gold_amzn_0038,curated_evaluation_benchmark
39,I accidentally returned my personal sunglasses inside the return box!,refund_return_request,Personal property lost at fulfillment center requiring facility contact.,ESCALATE,gold_amzn_0039,curated_evaluation_benchmark
40,Is there a limit on how many items I can return in a single month?,refund_return_request,Explain fair return policy guidelines.,AUTO_HANDLE,gold_amzn_0040,curated_evaluation_benchmark
41,The return tracking shows item delivered to returns center in Kentucky 10 days ago with no refund.,refund_return_request,Exceeded standard refund processing SLA requiring manual refund issuance.,ESCALATE,gold_amzn_0041,curated_evaluation_benchmark
42,Can I exchange an item for a different size without paying price difference if sale ended?,refund_return_request,Price honor request on exchange requiring agent override.,ESCALATE,gold_amzn_0042,curated_evaluation_benchmark
43,How do I print a return label if I do not own a printer?,refund_return_request,"Explain printerless return options at UPS Store, Kohl's, and Staples.",AUTO_HANDLE,gold_amzn_0043,curated_evaluation_benchmark
44,I want to cancel an order I placed 10 minutes ago.,refund_return_request,Direct customer to Orders page > Cancel Items button prior to dispatch.,AUTO_HANDLE,gold_amzn_0044,curated_evaluation_benchmark
45,The seller refuses to issue my return authorization for a third-party marketplace purchase.,refund_return_request,Third-party seller dispute requiring Amazon A-to-z Guarantee claim filing.,ESCALATE,gold_amzn_0045,curated_evaluation_benchmark
46,Do I have to pay return shipping if the item was not as described?,refund_return_request,Clarify that return shipping is free for defective or incorrectly described products.,AUTO_HANDLE,gold_amzn_0046,curated_evaluation_benchmark
47,I was charged for an item I returned two weeks ago because Amazon says they never received it.,refund_return_request,Chargeback/re-billing dispute requiring proof of drop-off tracking verification.,ESCALATE,gold_amzn_0047,curated_evaluation_benchmark
48,Can I drop off a return at any Amazon Fresh store?,refund_return_request,Confirm return drop-off capability at participating Amazon Fresh locations.,AUTO_HANDLE,gold_amzn_0048,curated_evaluation_benchmark
49,Where can I view the itemized breakdown of my issued refund?,refund_return_request,Guide customer to Your Orders > Order Details > Refund Summary.,AUTO_HANDLE,gold_amzn_0049,curated_evaluation_benchmark
50,I received a refund confirmation email but the amount is $20 less than what I paid.,refund_return_request,Disputed refund deduction requiring billing review.,ESCALATE,gold_amzn_0050,curated_evaluation_benchmark
51,I opened the parcel and the ceramic teapot was smashed into dozens of pieces.,damaged_defective_item,Apologize for transit damage and initiate free replacement order.,AUTO_HANDLE,gold_amzn_0051,curated_evaluation_benchmark
52,The laptop I received powers on but the display has dead vertical colored lines.,damaged_defective_item,High-value defective electronic item requiring tech assessment or replacement.,ESCALATE,gold_amzn_0052,curated_evaluation_benchmark
53,"I ordered a size Large men's winter coat, but you sent me a toddler's jacket.",damaged_defective_item,Apologize for fulfillment error and guide re-order/free return process.,AUTO_HANDLE,gold_amzn_0053,curated_evaluation_benchmark
54,The seal on the vitamins was completely broken and pills were scattered in the envelope.,damaged_defective_item,Issue immediate safety refund/replacement for contaminated ingestible product.,AUTO_HANDLE,gold_amzn_0054,curated_evaluation_benchmark
55,One of the four dining chairs in the set arrived with a cracked wooden leg.,damaged_defective_item,Partial furniture damage requiring manufacturer part request or partial credit.,ESCALATE,gold_amzn_0055,curated_evaluation_benchmark
56,The cosmetics bottle leaked all over the rest of the items in my delivery box.,damaged_defective_item,Apologize and issue replacement/refund for spoiled items without requiring return of liquid mess.,AUTO_HANDLE,gold_amzn_0056,curated_evaluation_benchmark
57,The drill set arrived missing the battery and charger shown in the product picture.,damaged_defective_item,Missing accessory dispute requiring parts fulfillment or full return.,ESCALATE,gold_amzn_0057,curated_evaluation_benchmark
58,The phone charger cord sparked and melted when plugged into the wall outlet!,damaged_defective_item,Safety and electrical hazard requiring immediate escalation to product safety team.,ESCALATE,gold_amzn_0058,curated_evaluation_benchmark
59,The vinyl record I bought has a deep scratch right across Side A.,damaged_defective_item,Provide hassle-free replacement label for damaged media.,AUTO_HANDLE,gold_amzn_0059,curated_evaluation_benchmark
60,The perfume bottle was completely empty because the nozzle broke during shipping.,damaged_defective_item,Process hazardous material returnless refund per policy for liquids/flammables.,AUTO_HANDLE,gold_amzn_0060,curated_evaluation_benchmark
61,"The packaging box was completely intact, but the smartphone inside had a cracked screen.",damaged_defective_item,High value internal damage requiring warehouse serialization audit.,ESCALATE,gold_amzn_0061,curated_evaluation_benchmark
62,The canned food I received has an expiration date from six months ago.,damaged_defective_item,Issue immediate refund for expired grocery item per freshness guarantee.,AUTO_HANDLE,gold_amzn_0062,curated_evaluation_benchmark
63,You sent me a UK plug version of the coffee machine instead of the US plug.,damaged_defective_item,Recognize wrong SKU delivery and provide free return/exchange instructions.,AUTO_HANDLE,gold_amzn_0063,curated_evaluation_benchmark
64,The blender motor smells like burning plastic after 30 seconds of use.,damaged_defective_item,Offer manufacturer warranty info or 30-day Amazon defective replacement.,AUTO_HANDLE,gold_amzn_0064,curated_evaluation_benchmark
65,The zipper on this backpack broke the very first time I pulled it.,damaged_defective_item,Facilitate return/replacement under 30-day return policy.,AUTO_HANDLE,gold_amzn_0065,curated_evaluation_benchmark
66,The bicycle arrived with a bent front fork that prevents the wheel from spinning.,damaged_defective_item,Large defective item requiring freight return authorization.,ESCALATE,gold_amzn_0066,curated_evaluation_benchmark
67,I received an envelope that was completely unsealed and completely empty inside!,damaged_defective_item,Stolen or lost in transit contents requiring investigation and replacement.,ESCALATE,gold_amzn_0067,curated_evaluation_benchmark
68,"The book arrived with water damage and wrinkled, illegible pages.",damaged_defective_item,Initiate replacement copy shipment.,AUTO_HANDLE,gold_amzn_0068,curated_evaluation_benchmark
69,The digital camera lens has internal fungus and dust despite being sold as 'Brand New'.,damaged_defective_item,Misrepresented condition by third-party seller requiring marketplace compliance review.,ESCALATE,gold_amzn_0069,curated_evaluation_benchmark
70,The package smelled like laundry detergent because another item crushed inside leaked on it.,damaged_defective_item,Process replacement for contaminated order.,AUTO_HANDLE,gold_amzn_0070,curated_evaluation_benchmark
71,The television screen has a spiderweb crack across the entire 65-inch panel.,damaged_defective_item,High-value freight damaged merchandise requiring specialized carrier inspection.,ESCALATE,gold_amzn_0071,curated_evaluation_benchmark
72,The lightbulbs were shattered into glass dust inside the bubble wrap.,damaged_defective_item,Advise safe disposal and issue replacement without requiring return of broken glass.,AUTO_HANDLE,gold_amzn_0072,curated_evaluation_benchmark
73,The smartwatch won't charge or turn on straight out of the sealed box.,damaged_defective_item,Offer standard electronic troubleshooting steps or replacement.,AUTO_HANDLE,gold_amzn_0073,curated_evaluation_benchmark
74,The hard drive makes clicking noises and is not recognized by any computer.,damaged_defective_item,Authorize defective return for storage drive.,AUTO_HANDLE,gold_amzn_0074,curated_evaluation_benchmark
75,You shipped me the Spanish language edition of the textbook instead of English.,damaged_defective_item,Arrange free return and dispatch correct language edition.,AUTO_HANDLE,gold_amzn_0075,curated_evaluation_benchmark
76,I was charged twice ($64.99 each) for order #114-8829102 on my Visa card.,payment_billing_issue,Duplicate billing dispute requiring merchant ledger verification.,ESCALATE,gold_amzn_0076,curated_evaluation_benchmark
77,My credit card was declined at checkout but my bank confirmed my card has no hold.,payment_billing_issue,Provide instructions to verify billing address match and re-enter card details.,AUTO_HANDLE,gold_amzn_0077,curated_evaluation_benchmark
78,There is an unauthorized charge of $14.99 from 'Amazon Digital' on my bank statement.,payment_billing_issue,Suspected unauthorized fraudulent transaction requiring account audit.,ESCALATE,gold_amzn_0078,curated_evaluation_benchmark
79,My $50 Amazon gift card says 'already redeemed to another account' when I enter the claim code.,payment_billing_issue,Stolen or compromised gift card claim code requiring fraud investigation.,ESCALATE,gold_amzn_0079,curated_evaluation_benchmark
80,How do I update the expiration date and CVV for my default payment method?,payment_billing_issue,Guide user to Manage Payment Methods under Account settings.,AUTO_HANDLE,gold_amzn_0080,curated_evaluation_benchmark
81,Why is there a temporary $1 authorization hold on my bank account?,payment_billing_issue,Explain standard pre-authorization verification hold that automatically drops in a few days.,AUTO_HANDLE,gold_amzn_0081,curated_evaluation_benchmark
82,Can I split a payment between two different credit cards for a single order?,payment_billing_issue,Explain that Amazon allows split payment between Amazon Gift Card balance and one credit card.,AUTO_HANDLE,gold_amzn_0082,curated_evaluation_benchmark
83,My promotional discount code 'SAVE20' is not applying at checkout.,payment_billing_issue,"Clarify promotional terms (eligible items, sold by Amazon, expiration).",AUTO_HANDLE,gold_amzn_0083,curated_evaluation_benchmark
84,I received an email stating my payment revision was needed or my order will cancel.,payment_billing_issue,Guide user to click 'Revise Payment' under Your Orders.,AUTO_HANDLE,gold_amzn_0084,curated_evaluation_benchmark
85,Can I pay for my Amazon order using Apple Pay or Google Pay?,payment_billing_issue,State supported payment methods and explain lack of direct Apple/Google Pay in web cart.,AUTO_HANDLE,gold_amzn_0085,curated_evaluation_benchmark
86,I returned an item paid with a gift card. Where did the refund go?,payment_billing_issue,Explain that gift card payments are refunded back to the Amazon Gift Card balance.,AUTO_HANDLE,gold_amzn_0086,curated_evaluation_benchmark
87,A seller is asking me to pay them directly via wire transfer to complete the order.,payment_billing_issue,Off-platform payment fraud violation requiring immediate security report.,ESCALATE,gold_amzn_0087,curated_evaluation_benchmark
88,Why was sales tax charged on an item shipped to an address in Delaware?,payment_billing_issue,Provide tax calculation details based on item category and shipping destination.,AUTO_HANDLE,gold_amzn_0088,curated_evaluation_benchmark
89,My bank blocked the transaction thinking Amazon was fraud. How do I retry without cancelling?,payment_billing_issue,"Advise calling bank to authorize merchant, then clicking Retry Payment in Your Orders.",AUTO_HANDLE,gold_amzn_0089,curated_evaluation_benchmark
90,How do I download a formal VAT tax invoice for my business accounting?,payment_billing_issue,Direct user to Your Orders > Printable Order Summary / Invoice link.,AUTO_HANDLE,gold_amzn_0090,curated_evaluation_benchmark
91,I see recurring charges of $9.99 every month from Amazon that I never signed up for.,payment_billing_issue,Unidentified subscription dispute requiring subscription audit.,ESCALATE,gold_amzn_0091,curated_evaluation_benchmark
92,Can I use an international credit card issued in France on Amazon.com?,payment_billing_issue,Explain international credit card acceptance and Amazon Currency Converter.,AUTO_HANDLE,gold_amzn_0092,curated_evaluation_benchmark
93,My cashback reward points were deducted but the order did not go through.,payment_billing_issue,Reward points sync failure requiring points reconciliation.,ESCALATE,gold_amzn_0093,curated_evaluation_benchmark
94,Can I remove a saved credit card from my account so nobody else can use it?,payment_billing_issue,Instruct user on navigating to Your Payments > select card > Edit > Remove from wallet.,AUTO_HANDLE,gold_amzn_0094,curated_evaluation_benchmark
95,Why did the total price in my cart increase right before I clicked Place Order?,payment_billing_issue,"Explain real-time price updates, estimated shipping additions, and dynamic tax.",AUTO_HANDLE,gold_amzn_0095,curated_evaluation_benchmark
96,My employer gave me a corporate credit card that requires PO numbers. Where do I enter this?,payment_billing_issue,Explain Amazon Business account features for Purchase Order numbering.,AUTO_HANDLE,gold_amzn_0096,curated_evaluation_benchmark
97,I was charged an overdraft fee by my bank because Amazon billed me days after I ordered.,payment_billing_issue,Customer grievance regarding authorization timing versus shipment billing.,ESCALATE,gold_amzn_0097,curated_evaluation_benchmark
98,Can I pay for groceries on Amazon Fresh using SNAP EBT benefits?,payment_billing_issue,"Explain SNAP EBT eligibility, registration steps, and eligible food products.",AUTO_HANDLE,gold_amzn_0098,curated_evaluation_benchmark
99,I accidentally selected the wrong credit card for my order. Can I change it after placing?,payment_billing_issue,Explain that payment method can be changed in Your Orders if order hasn't entered dispatch.,AUTO_HANDLE,gold_amzn_0099,curated_evaluation_benchmark
100,I have $150 in promotional credit that disappeared from my account overview.,payment_billing_issue,Promotional ledger audit requiring customer service adjustment.,ESCALATE,gold_amzn_0100,curated_evaluation_benchmark
101,I forgot my Amazon password and the reset email is not arriving in my inbox.,account_login_access,"Advise checking Spam/Junk folders, whitelist Amazon domain, and try SMS reset.",AUTO_HANDLE,gold_amzn_0101,curated_evaluation_benchmark
102,I changed my phone number and now I cannot receive the Two-Factor OTP to sign in.,account_login_access,Account recovery lockout requiring identity verification document submission.,ESCALATE,gold_amzn_0102,curated_evaluation_benchmark
103,I received an email saying someone logged into my account from a device in Russia.,account_login_access,Active security breach requiring immediate account lockdown and password reset.,ESCALATE,gold_amzn_0103,curated_evaluation_benchmark
104,My account has been put on hold and customer service asked for billing statement upload.,account_login_access,Account specialist hold requiring secure portal document upload review.,ESCALATE,gold_amzn_0104,curated_evaluation_benchmark
105,How do I enable Two-Step Verification using an Authenticator app like Google Authenticator?,account_login_access,Provide step-by-step guide to Login & Security > Two-Step Verification settings.,AUTO_HANDLE,gold_amzn_0105,curated_evaluation_benchmark
106,I keep getting an 'Invalid credentials' error even though I know my password is correct.,account_login_access,Suggest clearing browser cache/cookies or using password reset link.,AUTO_HANDLE,gold_amzn_0106,curated_evaluation_benchmark
107,Can I merge two separate Amazon accounts registered under different emails into one?,account_login_access,"Explain that accounts cannot be merged, but Family Library sharing can link benefits.",AUTO_HANDLE,gold_amzn_0107,curated_evaluation_benchmark
108,How do I permanently delete my Amazon account and personal data?,account_login_access,Guide user to the Close Your Amazon Account privacy request page.,AUTO_HANDLE,gold_amzn_0108,curated_evaluation_benchmark
109,My 2FA OTP prompt keeps looping back to the password screen without logging me in.,account_login_access,Suggest incognito mode or disabling conflicting browser extensions.,AUTO_HANDLE,gold_amzn_0109,curated_evaluation_benchmark
110,An unknown person changed the primary email address on my Amazon account!,account_login_access,Hostile account takeover requiring emergency security escalation.,ESCALATE,gold_amzn_0110,curated_evaluation_benchmark
111,How do I change my account name and public profile handle?,account_login_access,Instruct user to visit Your Account > Your Public Profile > Edit Profile.,AUTO_HANDLE,gold_amzn_0111,curated_evaluation_benchmark
112,Can I set up Touch ID or Face ID passkey to sign into the Amazon mobile app?,account_login_access,Explain Passkey configuration in Login & Security settings.,AUTO_HANDLE,gold_amzn_0112,curated_evaluation_benchmark
113,I am receiving continuous verification codes on my phone that I did not trigger.,account_login_access,Credential stuffing / brute-force alert requiring immediate credential change.,ESCALATE,gold_amzn_0113,curated_evaluation_benchmark
114,How do I view all active devices currently logged into my Amazon account?,account_login_access,Direct user to Manage Your Content and Devices > Devices tab.,AUTO_HANDLE,gold_amzn_0114,curated_evaluation_benchmark
115,My account was suspended for suspected review manipulation which is completely false.,account_login_access,Policy appeal requiring community trust & safety team review.,ESCALATE,gold_amzn_0115,curated_evaluation_benchmark
116,Can I transfer my Kindle book library to a different Amazon account?,account_login_access,Explain digital rights policy regarding non-transferability between accounts.,AUTO_HANDLE,gold_amzn_0116,curated_evaluation_benchmark
117,I am locked out because the system asks for answers to security questions I never set.,account_login_access,Auth lock requiring manual identity verification.,ESCALATE,gold_amzn_0117,curated_evaluation_benchmark
118,How do I remove an ex-partner from my Amazon Household sharing group?,account_login_access,Guide user to Manage Your Household > Remove Member settings.,AUTO_HANDLE,gold_amzn_0118,curated_evaluation_benchmark
119,Why does Amazon ask me to verify my identity every single time I log in from my laptop?,account_login_access,Explain trusted device cookies and IP location verification safeguards.,AUTO_HANDLE,gold_amzn_0119,curated_evaluation_benchmark
120,I lost access to the email domain where my Amazon account was registered 10 years ago.,account_login_access,Lost domain credential recovery requiring support verification.,ESCALATE,gold_amzn_0120,curated_evaluation_benchmark
121,Can I switch my Amazon account from a personal account to an Amazon Business account?,account_login_access,Provide link and instructions to register for Amazon Business.,AUTO_HANDLE,gold_amzn_0121,curated_evaluation_benchmark
122,The CAPTCHA on the login screen is unreadable even after refreshing 10 times.,account_login_access,Suggest using the audio CAPTCHA option or switching browsers.,AUTO_HANDLE,gold_amzn_0122,curated_evaluation_benchmark
123,How do I download a copy of all personal data Amazon holds about me under GDPR/CCPA?,account_login_access,Guide user to Request Your Information page under Privacy Central.,AUTO_HANDLE,gold_amzn_0123,curated_evaluation_benchmark
124,My child made in-app purchases on the tablet without permission because parental control failed.,account_login_access,Unauthorized minor purchase requiring parental refund review.,ESCALATE,gold_amzn_0124,curated_evaluation_benchmark
125,My account was flagged for suspicious activity and my open orders were all cancelled.,account_login_access,Account restriction requiring risk operations verification.,ESCALATE,gold_amzn_0125,curated_evaluation_benchmark
126,Why did Amazon charge me $139 for Prime membership when I never authorized renewal?,subscription_prime_issue,Explain auto-renewal policy and offer guide to cancel for full refund if benefits unused.,AUTO_HANDLE,gold_amzn_0126,curated_evaluation_benchmark
127,How do I cancel my Amazon Prime subscription and get a refund for remaining months?,subscription_prime_issue,Provide instructions to End Membership under Manage Prime Membership.,AUTO_HANDLE,gold_amzn_0127,curated_evaluation_benchmark
128,"I am a university student, how do I apply for the 50% Prime Student discount?",subscription_prime_issue,Direct customer to Prime Student verification page using .edu email.,AUTO_HANDLE,gold_amzn_0128,curated_evaluation_benchmark
129,I paid for Amazon Prime but Prime Video says I need to purchase a separate subscription.,subscription_prime_issue,Troubleshoot Prime account matching between Amazon retail and Prime Video app.,AUTO_HANDLE,gold_amzn_0129,curated_evaluation_benchmark
130,Can I share my Amazon Prime delivery benefits with my spouse without paying extra?,subscription_prime_issue,Explain Amazon Household setup to share Prime shipping benefits.,AUTO_HANDLE,gold_amzn_0130,curated_evaluation_benchmark
131,Why is my Prime delivery taking 4 days instead of 2-day delivery guaranteed by Prime?,subscription_prime_issue,Explain that 2-day transit window applies from the moment item ships from warehouse.,AUTO_HANDLE,gold_amzn_0131,curated_evaluation_benchmark
132,"My Prime subscription auto-renewed yesterday. I haven't used any benefits, can I get a refund?",subscription_prime_issue,Confirm automated full refund policy if zero Prime benefits used since renewal.,AUTO_HANDLE,gold_amzn_0132,curated_evaluation_benchmark
133,How do I pause my Prime membership while I am traveling abroad for 3 months?,subscription_prime_issue,Explain membership pause functionality in Manage Prime settings.,AUTO_HANDLE,gold_amzn_0133,curated_evaluation_benchmark
134,Does Prime Video include access to HBO/Max or are those extra channel add-ons?,subscription_prime_issue,Clarify third-party Prime Video Channels require additional subscription fees.,AUTO_HANDLE,gold_amzn_0134,curated_evaluation_benchmark
135,I was charged $14.99 for Prime after signing up for what was advertised as a free 30-day trial.,subscription_prime_issue,Billing discrepancy on free trial promotion requiring agent refund.,ESCALATE,gold_amzn_0135,curated_evaluation_benchmark
136,How do I switch my Prime billing from monthly ($14.99) to annual ($139)?,subscription_prime_issue,Guide customer to Payment Plan settings inside Manage Prime.,AUTO_HANDLE,gold_amzn_0136,curated_evaluation_benchmark
137,Can I pay for my Amazon Prime membership using an Amazon gift card balance?,subscription_prime_issue,Explain policy that Prime memberships require a valid credit/debit card on file.,AUTO_HANDLE,gold_amzn_0137,curated_evaluation_benchmark
138,My Prime Gaming loot rewards are not linking to my Twitch account.,subscription_prime_issue,Provide link and steps to re-link Amazon and Twitch accounts in Prime Gaming.,AUTO_HANDLE,gold_amzn_0138,curated_evaluation_benchmark
139,Why am I seeing advertisements on Prime Video when I pay for a Prime membership?,subscription_prime_issue,Explain updated Prime Video tier with ad-free option add-on.,AUTO_HANDLE,gold_amzn_0139,curated_evaluation_benchmark
140,I cancelled Prime 2 weeks ago but my credit card was just billed again today.,subscription_prime_issue,Recurring billing error on cancelled account requiring ledger audit.,ESCALATE,gold_amzn_0140,curated_evaluation_benchmark
141,Does Amazon Prime include free Grubhub+ food delivery membership?,subscription_prime_issue,Confirm ongoing Grubhub+ partnership benefit for active Prime members.,AUTO_HANDLE,gold_amzn_0141,curated_evaluation_benchmark
142,How do I invite a teen to my Amazon Prime Household account?,subscription_prime_issue,Guide customer through Amazon Teen logins under Household management.,AUTO_HANDLE,gold_amzn_0142,curated_evaluation_benchmark
143,"I receive government assistance (EBT/Medicaid), is there a discounted Prime rate?",subscription_prime_issue,Explain Prime Access program offering 50% discount for qualifying recipients.,AUTO_HANDLE,gold_amzn_0143,curated_evaluation_benchmark
144,Can I download Prime Video movies to watch offline on my laptop?,subscription_prime_issue,Explain offline viewing capabilities via the official Prime Video Windows/Mac app.,AUTO_HANDLE,gold_amzn_0144,curated_evaluation_benchmark
145,My Prime Music app only lets me shuffle songs now instead of playing on demand.,subscription_prime_issue,Explain Amazon Music Prime catalog shuffle features vs Amazon Music Unlimited tier.,AUTO_HANDLE,gold_amzn_0145,curated_evaluation_benchmark
146,I was double billed for Prime on two different credit cards this month.,subscription_prime_issue,Duplicate subscription charge requiring account deduplication.,ESCALATE,gold_amzn_0146,curated_evaluation_benchmark
147,How do I claim the free monthly Twitch channel subscription with Prime?,subscription_prime_issue,Provide steps to click 'Subscribe with Prime' on creator channel.,AUTO_HANDLE,gold_amzn_0147,curated_evaluation_benchmark
148,Can I gift an Amazon Prime membership to a friend as a birthday present?,subscription_prime_issue,Direct user to Give the Gift of Prime purchase page.,AUTO_HANDLE,gold_amzn_0148,curated_evaluation_benchmark
